committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
"Bildung, Forschung und Technikfolgenabschätzung","Fahimi, Yasmin",Yasmin,Fahimi,Yasmin Fahimi,Yasmin Fahimi,1038034431385247745,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Kaczmarek, Oliver",Oliver,Kaczmarek,Oliver Kaczmarek,Oliver Kaczmarek,231440493,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Paschke, Markus",Markus,Paschke,Markus Paschke,Markus Paschke,3163499392,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Röspel, René",René,Röspel,René Röspel,René Röspel,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Völlers, Marja-Liisa",Marja-Liisa,Völlers,Marja-Liisa Völlers,Marja-Liisa Völlers,1009457791554281473,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Espendiller, Dr. Michael",Dr. Michael,Espendiller,Dr. Michael Espendiller,Michael Espendiller,885167849685340161,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Frömming, Dr. Götz",Dr. Götz,Frömming,Dr. Götz Frömming,Götz Frömming,809895794,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Höchst, Nicole",Nicole,Höchst,Nicole Höchst,Nicole Höchst,3105025175,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Jongen, Dr. Marc",Dr. Marc,Jongen,Dr. Marc Jongen,Marc Jongen,4121053541,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Reichardt, Martin",Martin,Reichardt,Martin Reichardt,Martin Reichardt,2545743991,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Brandenburg, Dr. Jens",Dr. Jens,Brandenburg,Dr. Jens Brandenburg,Jens Brandenburg,857906951707127808,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Brandenburg, Mario",Mario,Brandenburg,Mario Brandenburg,Mario Brandenburg,802968497831739392,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Dassler, Britta Katharina",Britta Katharina,Dassler,Britta Katharina Dassler,Britta Katharina Dassler,NA,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Heidt, Peter",Peter,Heidt,Peter Heidt,Peter Heidt,1858621434,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Sattelberger, Dr. h. c. Thomas",Dr. h. c. Thomas,Sattelberger,Dr. h. c. Thomas Sattelberger,Thomas Sattelberger,1296544153,WP_19,2017-10-24,2021-10-26,bildung_forschung
"Bildung, Forschung und Technikfolgenabschätzung","Bull-Bischoff, Dr. Birke",Dr. Birke,Bull-Bischoff,Dr. Birke Bull-Bischoff,Birke Bull-Bischoff,81394072,WP_19,2017-10-24,2021-10-26,bildung_forschung
